Country,Arrivals,Region,Income
France,84452000,Europe & Central Asia,High income
United States,77774000,North America,High income
Spain,68175000,Europe & Central Asia,High income
China,56886000,East Asia & Pacific,Upper middle income
Italy,50732000,Europe & Central Asia,High income
Turkey,39478000,Europe & Central Asia,Upper middle income
Germany,34970000,Europe & Central Asia,High income
United Kingdom,34436000,Europe & Central Asia,High income
Russian Federation,33729000,Europe & Central Asia,Upper middle income
Mexico,32093000,Latin America & Caribbean,Upper middle income
