Country,Arrivals,Region,Income Group
France,82682000,Europe & Central Asia,High income
United States,76407000,North America,High income
Spain,75315000,Europe & Central Asia,High income
China,59270000,East Asia & Pacific,Upper middle income
Italy,52372000,Europe & Central Asia,High income
United Kingdom,35814000,Europe & Central Asia,High income
Germany,35555000,Europe & Central Asia,High income
Mexico,35079000,Latin America & Caribbean,Upper middle income
Thailand,32530000,East Asia & Pacific,Upper middle income
Turkey,30289000,Europe & Central Asia,Upper middle income
