dish,popularity,sentiment
fried rice,4294.46,0.475629157
egg roll,1963.5,0.440749939
spring roll,1007.44,0.513843938
chow mein,972.91,0.445392256
egg drop soup,657.33,0.397323382
kung pao chicken,655.16,0.494889893
kung pao chicken,655.16,0.494889893
chow fun,600.91,0.738852026
crab puffs,546.19,0.573664862
pot stickers,523.48,0.528730883
sweet and sour chicken,460.73,0.640414685
fried chicken,407.15,0.492792264
crab rangoon,405.14,0.499200866
chicken wings,386.67,0.568053098
hot pot,362.87,0.583117609
peking duck,267.86,0.63968444
bok choy,258.27,0.560323945
shrimp fried rice,228.59,0.477275419
garlic chicken,197.24,0.550216396
steamed dumplings,108.67,0.540482222
char siu,101.51,0.5323592
fish ball,93.36,0.559574086
california roll,92.42,0.325074435
mapo tofu,89.54,0.456992697
fried fish,88.56,0.479088068
broccoli beef,87.83,0.489758448
chop suey,87.68,0.441491449
kung pao shrimp,85.67,0.585334824
house special chicken,83.43,0.720978554
pork ribs,78.61,0.492806282
seafood soup,78.44,0.530569872
shrimp with lobster sauce,72.58,0.436523333
shark fin,70.28,0.378316438
chicken soup,65.49,0.402418769
refried beans,60.05,0.428246393
salted fish,55.36,0.62473875
beef fried rice,53.47,0.579443962
frog legs,53.21,0.63056717
prime rib,53.18,0.437132593
flat noodles,51.29,0.524430392
mu shu pork,47.38,0.482125106
hunan beef,40.33,0.4664855
shrimp paste,35.17,0.462640286
shark fin soup,34.17,0.301813939
beef stew noodle soup,29.15,0.493067586
fried dough,27.23,0.462457778
scrambled eggs,25.18,0.3235844
pulled pork,24.07,0.622568333
dried shrimp,23.18,0.612204348
steamed broccoli,22.22,0.552566818
vegetable chow mein,22.21,0.231285909
duck soup,22.18,0.466852727
buddha's feast,20.13,0.3238805
hainanese chicken rice,15.07,0.435114667
braised beef brisket,10.04,0.268662222
seafood pan fried noodles,8.07,0.5528325
three cup chicken,8.04,0.55136875
basil beef,6.04,0.640641667
chicken rice soup,5.04,0.863966
mushroom pork,2.02,0.36352
clams with black beans,2.02,0.70804
vegetable stir-fry,2.02,-0.40454
fried fish fillet,2.02,0.04198
fried tofu wedges,2.01,0.69739
beef tofu,1.01,0.4
beef with scramble egg,1.01,0.5529
prawns stir-fry,0,0
yellow leak bean sprout fish,0,0
salt pepper chicken wings,0,0
terriyaki beef,0,0
