id,value
.good,
.good.topic0,
.good.topic0.chicken,0.0066784704
.good.topic0.line,0.006109334
.good.topic0.long,0.0057485537
.good.topic0.delicious,0.005440793
.good.topic0.great,0.005252326
.good.topic0.just,0.0049224123
.good.topic0.got,0.0048559546
.good.topic0.love,0.004845483
.good.topic0.pretty,0.004829796
.good.topic0.tuna,0.0046731224
.good.topic1,
.good.topic1.great,0.0056597125
.good.topic1.open,0.0050382405
.good.topic1.24,0.0049123242
.good.topic1.strip,0.004905861
.good.topic1.hours,0.004832466
.good.topic1.food,0.0044865366
.good.topic1.delicious,0.004481111
.good.topic1.really,0.004367615
.good.topic1.try,0.0041852877
.good.topic1.club,0.004166444
.good.topic2,
.good.topic2.best,0.009359778
.good.topic2.time,0.0058229025
.good.topic2.line,0.0054179993
.good.topic2.food,0.0052030482
.good.topic2.really,0.00515335
.good.topic2.tuna,0.0051439037
.good.topic2.bread,0.0049621114
.good.topic2.love,0.004855525
.good.topic2.like,0.0047909715
.good.topic2.long,0.0047775046
.good.topic3,
.good.topic3.great,0.010233239
.good.topic3.best,0.006467413
.good.topic3.amazing,0.0062019955
.good.topic3.delicious,0.006086861
.good.topic3.just,0.005622572
.good.topic3.really,0.005392937
.good.topic3.food,0.005335921
.good.topic3.price,0.0052336734
.good.topic3.eat,0.0050072717
.good.topic3.favorite,0.0049094292
.good.topic4,
.good.topic4.best,0.0059435335
.good.topic4.tuna,0.005935008
.good.topic4.chicken,0.0058839465
.good.topic4.delicious,0.005735997
.good.topic4.just,0.005010192
.good.topic4.bread,0.004977055
.good.topic4.time,0.0049747783
.good.topic4.line,0.0048475987
.good.topic4.great,0.004744219
.good.topic4.breakfast,0.004654579
.good.topic5,
.good.topic5.chipotle,0.008997525
.good.topic5.chicken,0.008159258
.good.topic5.avocado,0.007095118
.good.topic5.love,0.006731754
.good.topic5.great,0.006710888
.good.topic5.just,0.0060195182
.good.topic5.delicious,0.0058118873
.good.topic5.long,0.0053738407
.good.topic5.time,0.00535063
.good.topic5.fresh,0.0051444825
.good.topic6,
.good.topic6.great,0.008831684
.good.topic6.love,0.0069023236
.good.topic6.food,0.0060997442
.good.topic6.try,0.005560529
.good.topic6.quick,0.005507217
.good.topic6.original,0.005093763
.good.topic6.best,0.004860409
.good.topic6.yum,0.0047019995
.good.topic6.chicken,0.0046184496
.good.topic6.tuna,0.004568123
.bad,
.bad.topic0,
.bad.topic0.taste,0.0112579325
.bad.topic0.chicken,0.0110197235
.bad.topic0.bread,0.01038346
.bad.topic0.great,0.010279543
.bad.topic0.better,0.010039319
.bad.topic0.just,0.009768255
.bad.topic0.ok,0.0096833985
.bad.topic0.reviews,0.009466672
.bad.topic0.really,0.00943733
.bad.topic0.prices,0.008637575
.bad.topic1,
.bad.topic1.food,0.009569157
.bad.topic1.just,0.0094567835
.bad.topic1.got,0.009435698
.bad.topic1.earl,0.00912543
.bad.topic1.bread,0.008792391
.bad.topic1.vegetarian,0.008708749
.bad.topic1.ordered,0.008647785
.bad.topic1.vegas,0.008406191
.bad.topic1.order,0.008154881
.bad.topic1.service,0.0074779205
.bad.topic2,
.bad.topic2.gross,0.01568993
.bad.topic2.tuna,0.011917015
.bad.topic2.long,0.009063926
.bad.topic2.bad,0.008881874
.bad.topic2.day,0.0082551995
.bad.topic2.don,0.008070148
.bad.topic2.sad,0.008051527
.bad.topic2.wrap,0.0078825
.bad.topic2.open,0.007805756
.bad.topic2.yelp,0.007797679
.bad.topic3,
.bad.topic3.hard,0.011393019
.bad.topic3.disappointed,0.010624134
.bad.topic3.quality,0.010128226
.bad.topic3.subway,0.009489409
.bad.topic3.eat,0.009331898
.bad.topic3.100,0.008098878
.bad.topic3.avocado,0.008055276
.bad.topic3.night,0.008025738
.bad.topic3.understand,0.0077881017
.bad.topic3.vegas,0.0076261037
.bad.topic4,
.bad.topic4.don,0.011913278
.bad.topic4.chicken,0.0108627
.bad.topic4.overrated,0.0108307395
.bad.topic4.good,0.010814258
.bad.topic4.taste,0.009081826
.bad.topic4.order,0.008758419
.bad.topic4.minutes,0.008645161
.bad.topic4.bread,0.008599613
.bad.topic4.say,0.008593009
.bad.topic4.nice,0.008507682
.bad.topic5,
.bad.topic5.bread,0.013435009
.bad.topic5.earl,0.012049263
.bad.topic5.turkey,0.012011671
.bad.topic5.good,0.010754785
.bad.topic5.just,0.0104578165
.bad.topic5.better,0.010250465
.bad.topic5.food,0.010185521
.bad.topic5.things,0.009268252
.bad.topic5.heard,0.0088784555
.bad.topic5.friend,0.0086167
.bad.topic6,
.bad.topic6.just,0.017849425
.bad.topic6.bread,0.012420152
.bad.topic6.food,0.010880878
.bad.topic6.good,0.010687338
.bad.topic6.don,0.010369401
.bad.topic6.tasted,0.009838709
.bad.topic6.really,0.009605378
.bad.topic6.meh,0.009040265
.bad.topic6.drunk,0.008782692
.bad.topic6.want,0.008734384
.
.
