id,value
reviews,
reviews.bad,
reviews.bad.topic0,
reviews.bad.topic0.food,0.005240811
reviews.bad.topic0.like,0.004628151
reviews.bad.topic0.great,0.004499034
reviews.bad.topic0.earl,0.0043644696
reviews.bad.topic0.just,0.004355087
reviews.bad.topic0.vegas,0.0040125228
reviews.bad.topic0.really,0.003929425
reviews.bad.topic0.reviews,0.0034002597
reviews.bad.topic0.night,0.0033301613
reviews.bad.topic0.ate,0.0031322287
reviews.bad.topic0.time,0.0030363766
reviews.bad.topic0.better,0.002891886
reviews.bad.topic1,
reviews.bad.topic1.just,0.0048957346
reviews.bad.topic1.original,0.0042286017
reviews.bad.topic1.chicken,0.0041139494
reviews.bad.topic1.earl,0.0036068785
reviews.bad.topic1.average,0.0034554382
reviews.bad.topic1.better,0.003407992
reviews.bad.topic1.like,0.0032578309
reviews.bad.topic1.caprese,0.0031229889
reviews.bad.topic1.subway,0.0031141958
reviews.bad.topic1.vegas,0.0031062986
reviews.bad.topic1.line,0.0030080995
reviews.bad.topic1.tried,0.002998271
reviews.bad.topic2,
reviews.bad.topic2.chicken,0.004592804
reviews.bad.topic2.like,0.0039066975
reviews.bad.topic2.quick,0.0036301576
reviews.bad.topic2.vegas,0.0036013082
reviews.bad.topic2.bread,0.0034704974
reviews.bad.topic2.jerk,0.0033591306
reviews.bad.topic2.soup,0.003294867
reviews.bad.topic2.salad,0.0032720084
reviews.bad.topic2.line,0.0032608972
reviews.bad.topic2.original,0.0031697869
reviews.bad.topic2.ordered,0.0030647698
reviews.bad.topic2.tasted,0.0029758604
reviews.bad.topic3,
reviews.bad.topic3.just,0.005806733
reviews.bad.topic3.bread,0.0056901486
reviews.bad.topic3.like,0.005455856
reviews.bad.topic3.earl,0.005328128
reviews.bad.topic3.chicken,0.0047432026
reviews.bad.topic3.maybe,0.0044833254
reviews.bad.topic3.ok,0.0044231033
reviews.bad.topic3.food,0.004340443
reviews.bad.topic3.pretty,0.0043293736
reviews.bad.topic3.ordered,0.0042062886
reviews.bad.topic3.line,0.0041817017
reviews.bad.topic3.eat,0.004175004
reviews.bad.topic4,
reviews.bad.topic4.like,0.004921504
reviews.bad.topic4.bread,0.004873871
reviews.bad.topic4.earl,0.004815669
reviews.bad.topic4.think,0.0048145466
reviews.bad.topic4.just,0.0044322032
reviews.bad.topic4.better,0.0043859547
reviews.bad.topic4.wasn,0.0041032373
reviews.bad.topic4.tuna,0.0040680133
reviews.bad.topic4.soup,0.0039711436
reviews.bad.topic4.salad,0.003711943
reviews.bad.topic4.great,0.003666506
reviews.bad.topic4.ok,0.0035242687
reviews.bad.topic5,
reviews.bad.topic5.bread,0.004603531
reviews.bad.topic5.just,0.0045422977
reviews.bad.topic5.don,0.004226597
reviews.bad.topic5.really,0.0041750413
reviews.bad.topic5.earl,0.003885095
reviews.bad.topic5.food,0.0036714827
reviews.bad.topic5.like,0.0036549356
reviews.bad.topic5.hype,0.003639089
reviews.bad.topic5.got,0.003519634
reviews.bad.topic5.vegas,0.0033388801
reviews.bad.topic5.late,0.003338304
reviews.bad.topic5.24,0.0031734428
reviews.bad.topic6,
reviews.bad.topic6.just,0.0049560294
reviews.bad.topic6.amazing,0.004913039
reviews.bad.topic6.don,0.00488078
reviews.bad.topic6.chicken,0.0047743274
reviews.bad.topic6.eat,0.0047113346
reviews.bad.topic6.really,0.0046754167
reviews.bad.topic6.like,0.004438657
reviews.bad.topic6.strip,0.0037820886
reviews.bad.topic6.vegas,0.0035861186
reviews.bad.topic6.quick,0.0035362244
reviews.bad.topic6.bread,0.0034299714
reviews.bad.topic6.best,0.0034243965
reviews.good,
reviews.good.topic0,
reviews.good.topic0.great,0.0051166257
reviews.good.topic0.time,0.0049468125
reviews.good.topic0.line,0.0048992434
reviews.good.topic0.bread,0.004797227
reviews.good.topic0.really,0.004760784
reviews.good.topic0.delicious,0.0045808842
reviews.good.topic0.chicken,0.0044871606
