id,value
reviews,
reviews.new,
reviews.new.topic0,
reviews.new.topic0.best,0.007914646
reviews.new.topic0.great,0.006450204
reviews.new.topic0.earl,0.0054739965
reviews.new.topic0.line,0.005348637
reviews.new.topic0.chicken,0.004788573
reviews.new.topic0.amazing,0.004367687
reviews.new.topic0.ve,0.0041050925
reviews.new.topic0.really,0.0040799305
reviews.new.topic0.like,0.0040722913
reviews.new.topic0.just,0.0040111397
reviews.new.topic0.time,0.004002506
reviews.new.topic0.long,0.003833204
reviews.new.topic1,
reviews.new.topic1.earl,0.007240664
reviews.new.topic1.food,0.004932875
reviews.new.topic1.line,0.0048329686
reviews.new.topic1.bread,0.004782679
reviews.new.topic1.long,0.004639148
reviews.new.topic1.just,0.0046001854
reviews.new.topic1.soup,0.004451056
reviews.new.topic1.tuna,0.004254124
reviews.new.topic1.great,0.004234233
reviews.new.topic1.chicken,0.0041837594
reviews.new.topic1.got,0.004106396
reviews.new.topic1.try,0.003993384
reviews.new.topic2,
reviews.new.topic2.earl,0.005981702
reviews.new.topic2.chicken,0.0045097275
reviews.new.topic2.food,0.0044151647
reviews.new.topic2.time,0.0043558483
reviews.new.topic2.just,0.004355407
reviews.new.topic2.really,0.0042639994
reviews.new.topic2.love,0.003909971
reviews.new.topic2.bread,0.0038148821
reviews.new.topic2.delicious,0.0037219878
reviews.new.topic2.eat,0.0033982527
reviews.new.topic2.line,0.003347389
reviews.new.topic2.soup,0.0032965026
reviews.new.topic3,
reviews.new.topic3.tuna,0.005850249
reviews.new.topic3.best,0.005578536
reviews.new.topic3.melt,0.0049038697
reviews.new.topic3.food,0.0044742855
reviews.new.topic3.earl,0.0044031795
reviews.new.topic3.chicken,0.004179467
reviews.new.topic3.strip,0.004048071
reviews.new.topic3.delicious,0.0039896835
reviews.new.topic3.line,0.003974782
reviews.new.topic3.like,0.003951757
reviews.new.topic3.open,0.0035992567
reviews.new.topic3.try,0.003520274
reviews.new.topic4,
reviews.new.topic4.great,0.007129961
reviews.new.topic4.earl,0.006187831
reviews.new.topic4.delicious,0.0059519927
reviews.new.topic4.just,0.005031948
reviews.new.topic4.food,0.004731733
reviews.new.topic4.bread,0.004588874
reviews.new.topic4.tasty,0.0045224405
reviews.new.topic4.like,0.004487867
reviews.new.topic4.try,0.00423934
reviews.new.topic4.service,0.0041609416
reviews.new.topic4.pretty,0.004011286
reviews.new.topic4.awesome,0.004008213
reviews.new.topic5,
reviews.new.topic5.love,0.007043613
reviews.new.topic5.earl,0.0049771448
reviews.new.topic5.best,0.0048423847
reviews.new.topic5.open,0.0045226086
reviews.new.topic5.like,0.004009824
reviews.new.topic5.bread,0.0039775674
reviews.new.topic5.time,0.0038029584
reviews.new.topic5.great,0.0037883392
reviews.new.topic5.really,0.0037860996
reviews.new.topic5.just,0.0037181913
reviews.new.topic5.chicken,0.0036385437
reviews.new.topic5.food,0.0035109054
reviews.new.topic6,
reviews.new.topic6.earl,0.005884182
reviews.new.topic6.just,0.0049458933
reviews.new.topic6.eat,0.004918633
reviews.new.topic6.chicken,0.0047236173
reviews.new.topic6.great,0.00460756
reviews.new.topic6.like,0.004426616
reviews.new.topic6.line,0.003595885
reviews.new.topic6.time,0.0034598175
reviews.new.topic6.quick,0.0033850875
reviews.new.topic6.long,0.0032100708
reviews.new.topic6.strip,0.0030744248
reviews.new.topic6.day,0.003014323
reviews.old,
reviews.old.topic0,
reviews.old.topic0.chicken,0.005243038
reviews.old.topic0.jerk,0.0051032854
reviews.old.topic0.delicious,0.0040516513
reviews.old.topic0.just,0.0038408272
reviews.old.topic0.caribbean,0.0035674563
reviews.old.topic0.really,0.003562453
reviews.old.topic0.got,0.003448328
reviews.old.topic0.best,0.0033257827
reviews.old.topic0.time,0.0033202372
reviews.old.topic0.food,0.0032528627
reviews.old.topic0.bread,0.0030833967
reviews.old.topic0.bbq,0.0027943442
reviews.old.topic1,
reviews.old.topic1.bread,0.004233866
reviews.old.topic1.got,0.0040381863
reviews.old.topic1.really,0.0039236513
reviews.old.topic1.just,0.0038445452
reviews.old.topic1.like,0.003841961
reviews.old.topic1.best,0.0036683085
reviews.old.topic1.time,0.0036438564
reviews.old.topic1.club,0.0036152042
reviews.old.topic1.try,0.0035616844
reviews.old.topic1.amazing,0.0034158248
reviews.old.topic1.tuna,0.0033514642
reviews.old.topic1.turkey,0.0033433095
reviews.old.topic2,
reviews.old.topic2.great,0.005555273
reviews.old.topic2.best,0.004979794
reviews.old.topic2.just,0.0038021125
reviews.old.topic2.delicious,0.0037934603
reviews.old.topic2.definitely,0.0037575401
reviews.old.topic2.bread,0.003742899
reviews.old.topic2.turkey,0.0037400457
reviews.old.topic2.line,0.0037387577
reviews.old.topic2.open,0.0036888197
reviews.old.topic2.like,0.0036413104
reviews.old.topic2.24,0.003582923
reviews.old.topic2.pretty,0.0034603074
reviews.old.topic3,
reviews.old.topic3.tuna,0.0056202076
reviews.old.topic3.best,0.004620237
reviews.old.topic3.food,0.004593713
reviews.old.topic3.melt,0.0044915443
reviews.old.topic3.delicious,0.0044829967
reviews.old.topic3.bread,0.0041854824
reviews.old.topic3.ve,0.0040589087
reviews.old.topic3.really,0.0037997926
reviews.old.topic3.24,0.0037532789
reviews.old.topic3.eat,0.0035901414
reviews.old.topic3.great,0.0035676777
reviews.old.topic3.open,0.0035526885
reviews.old.topic4,
reviews.old.topic4.great,0.005093464
reviews.old.topic4.best,0.0046870196
reviews.old.topic4.bread,0.004383997
reviews.old.topic4.like,0.0042029163
reviews.old.topic4.just,0.004062488
reviews.old.topic4.try,0.0040097786
reviews.old.topic4.food,0.0038566415
reviews.old.topic4.time,0.003667872
reviews.old.topic4.delicious,0.0034243923
reviews.old.topic4.hours,0.0032791104
reviews.old.topic4.tuna,0.0031907144
reviews.old.topic4.love,0.0031636457
reviews.old.topic5,
reviews.old.topic5.bread,0.0049460484
reviews.old.topic5.like,0.0045859455
reviews.old.topic5.great,0.004268596
reviews.old.topic5.hours,0.0040270523
reviews.old.topic5.best,0.0039441944
reviews.old.topic5.hot,0.0039407713
reviews.old.topic5.hollywood,0.0038725045
reviews.old.topic5.tried,0.003868476
reviews.old.topic5.just,0.0038381857
reviews.old.topic5.cheese,0.003818719
reviews.old.topic5.open,0.003809252
reviews.old.topic5.planet,0.0037881976
reviews.old.topic6,
reviews.old.topic6.really,0.005350431
reviews.old.topic6.bread,0.0050463537
reviews.old.topic6.like,0.00459494
reviews.old.topic6.just,0.004550243
reviews.old.topic6.eat,0.0040659695
reviews.old.topic6.got,0.0037163824
reviews.old.topic6.try,0.0032961208
reviews.old.topic6.montagu,0.0031294283
reviews.old.topic6.chicken,0.003106361
reviews.old.topic6.line,0.0030862715
reviews.old.topic6.time,0.0030419168
reviews.old.topic6.definitely,0.0030355188
