dish,score
egg roll,31.32833611
spring roll,24.18387157
chow mein,22.08792613
chow fun,21.8001263
kung pao chicken,19.17348497
crab puffs,18.69222328
sweet and sour chicken,17.76674518
egg drop soup,17.64162333
pot stickers,17.59785747
chicken wings,15.69267907
hot pot,15.4696324
crab rangoon,15.09478014
fried chicken,14.9951503
peking duck,13.85606422
bok choy,12.79784992
shrimp fried rice,11.07149764
garlic chicken,11.06539279
steamed dumplings,8.162581699
house special chicken,8.068009978
fish ball,7.840003879
char siu,7.76521984
kung pao shrimp,7.471769424
broccoli beef,7.009867064
fried fish,6.944885708
mapo tofu,6.836031073
seafood soup,6.833184653
chop suey,6.654326302
pork ribs,6.620346101
salted fish,6.208426599
frog legs,6.102189908
shrimp with lobster sauce,5.967875669
california roll,5.938682009
beef fried rice,5.926324255
shark fin,5.706920726
flat noodles,5.508973362
chicken soup,5.449842658
refried beans,5.446933312
mu shu pork,5.09426704
prime rib,5.074985714
shrimp paste,4.311385218
pulled pork,4.150281517
beef stew noodle soup,4.056769651
dried shrimp,4.014013992
fried dough,3.78494782
steamed broccoli,3.695280436
shark fin soup,3.551976679
duck soup,3.407569515
hunan beef,3.05359665
scrambled eggs,2.886258824
hainanese chicken rice,2.752785256
buddha's feast,2.723565525
vegetable chow mein,2.53789923
three cup chicken,2.300370441
seafood pan fried noodles,2.258119793
chicken rice soup,2.175586702
basil beef,2.108758521
braised beef brisket,1.894053854
clams with black beans,1.258864568
fried tofu wedges,1.226872039
mushroom pork,0.937080573
beef with scramble egg,0.801139813
beef tofu,0.714142843
fried fish fillet,0.372330498
vegetable stir-fry,-0.85499
